% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
6673 +3.065003083e-01 +3.065003083e-01 +7.657650031e+01 +7.657650031e+01 -4.3011e-01 -3.0423e+00 -1.4956e+00
6693 +3.000524049e-01 +3.000524049e-01 +7.657005240e+01 +7.657005240e+01 -4.3279e-01 -3.0550e+00 -1.4757e+00
6712 +2.878849588e-01 +2.878849588e-01 +7.655788496e+01 +7.655788496e+01 -4.3820e-01 -3.0806e+00 -1.4352e+00
6725 +2.709073368e-01 +2.709073368e-01 +7.654090734e+01 +7.654090734e+01 -4.4616e-01 -3.1188e+00 -1.3749e+00
6737 +2.656812903e-01 +2.656812903e-01 +7.653568129e+01 +7.653568129e+01 -4.5101e-01 -3.1422e+00 -1.3379e+00
6740 +2.612906396e-01 +2.612906396e-01 +7.653129064e+01 +7.653129064e+01 -4.5202e-01 -3.1477e+00 -1.3293e+00
6742 +2.555817015e-01 +2.555817015e-01 +7.652558170e+01 +7.652558170e+01 -4.5408e-01 -3.1595e+00 -1.3106e+00
6747 +2.377976959e-01 +2.377976959e-01 +7.650779770e+01 +7.650779770e+01 -4.6335e-01 -3.2031e+00 -1.2418e+00
6757 +2.279338929e-01 +2.279338929e-01 +7.649793389e+01 +7.649793389e+01 -4.6856e-01 -3.2284e+00 -1.2018e+00
6766 +2.222712738e-01 +2.222712738e-01 +7.649227127e+01 +7.649227127e+01 -4.7306e-01 -3.2508e+00 -1.1665e+00
6815 +2.180839844e-01 +2.180839844e-01 +7.648808398e+01 +7.648808398e+01 -4.7317e-01 -3.2518e+00 -1.1650e+00
6983 +2.134353036e-01 +2.134353036e-01 +7.648343530e+01 +7.648343530e+01 -4.7665e-01 -3.2587e+00 -1.1535e+00
7215 +2.081800761e-01 +2.081800761e-01 +7.647818008e+01 +7.647818008e+01 -4.9559e-01 -3.2775e+00 -1.1213e+00
7242 +2.012311080e-01 +2.012311080e-01 +7.647123111e+01 +7.647123111e+01 -5.1052e-01 -3.2842e+00 -1.1084e+00
7252 +1.971834931e-01 +1.971834931e-01 +7.646718349e+01 +7.646718349e+01 -5.2054e-01 -3.2886e+00 -1.0998e+00
7261 +1.935257761e-01 +1.935257761e-01 +7.646352578e+01 +7.646352578e+01 -5.2806e-01 -3.2920e+00 -1.0934e+00
7269 +1.855301601e-01 +1.855301601e-01 +7.645553016e+01 +7.645553016e+01 -5.4512e-01 -3.2996e+00 -1.0788e+00
7275 +1.788636979e-01 +1.788636979e-01 +7.644886370e+01 +7.644886370e+01 -5.6827e-01 -3.3097e+00 -1.0593e+00
7282 +1.732889964e-01 +1.732889964e-01 +7.644328900e+01 +7.644328900e+01 -5.7454e-01 -3.3128e+00 -1.0534e+00
7283 +1.696058475e-01 +1.696058475e-01 +7.643960585e+01 +7.643960585e+01 -5.9435e-01 -3.3215e+00 -1.0367e+00
7293 +1.658408251e-01 +1.658408251e-01 +7.643584083e+01 +7.643584083e+01 -6.2610e-01 -3.3351e+00 -1.0102e+00
7363 +1.594944574e-01 +1.594944574e-01 +7.642949446e+01 +7.642949446e+01 -6.7004e-01 -3.3473e+00 -9.8373e-01
7382 +1.583538412e-01 +1.583538412e-01 +7.642835384e+01 +7.642835384e+01 -6.7413e-01 -3.3492e+00 -9.8020e-01
8072 +1.544997427e-01 +1.544997427e-01 +7.642449974e+01 +7.642449974e+01 -6.6712e-01 -3.3431e+00 -9.9087e-01
