% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
9233 +1.514624593e+02 +1.514624593e+02 +2.447624593e+02 +2.447624593e+02 +2.3621e+00 -1.9191e+00 -1.4624e+00 -1.1896e+00 +1.5254e-01 +2.5278e-01 -2.9494e+00 +1.8370e+00 -2.0425e+00 -7.9365e-01 -6.2486e-01 +1.6098e+00 +4.8866e-01 +4.8056e-01 -2.8947e-01 -3.1942e+00 +8.3459e-02 -5.9077e-02 -6.2488e-01 -1.1444e+00
9260 +1.480523475e+02 +1.480523475e+02 +2.413523475e+02 +2.413523475e+02 +2.3567e+00 -1.9026e+00 -1.4644e+00 -1.1905e+00 +1.4942e-01 +2.4499e-01 -2.9426e+00 +1.8423e+00 -2.0440e+00 -7.9570e-01 -6.1594e-01 +1.6145e+00 +4.9532e-01 +4.8126e-01 -2.8374e-01 -3.1742e+00 +9.1637e-02 -6.7594e-02 -6.3381e-01 -1.1492e+00
9262 +1.465143314e+02 +1.465143314e+02 +2.398143314e+02 +2.398143314e+02 +2.3437e+00 -1.9078e+00 -1.4699e+00 -1.1983e+00 +1.4837e-01 +2.4364e-01 -2.9410e+00 +1.8364e+00 -2.0488e+00 -7.9999e-01 -6.1119e-01 +1.6160e+00 +4.8722e-01 +4.8394e-01 -2.9636e-01 -3.1687e+00 +9.1501e-02 -7.1177e-02 -6.2541e-01 -1.1471e+00
9265 +1.330453957e+02 +1.330453957e+02 +2.263453957e+02 +2.263453957e+02 +2.3537e+00 -1.9195e+00 -1.4616e+00 -1.1824e+00 +1.5301e-01 +2.4721e-01 -2.9455e+00 +1.8347e+00 -2.0455e+00 -7.9288e-01 -6.1761e-01 +1.6101e+00 +5.0779e-01 +4.8211e-01 -2.8262e-01 -3.1719e+00 +8.6955e-02 -6.3547e-02 -6.3080e-01 -1.1525e+00
9337 +1.295413172e+02 +1.295413172e+02 +2.228413172e+02 +2.228413172e+02 +2.3511e+00 -1.9135e+00 -1.4685e+00 -1.1739e+00 +1.6531e-01 +2.4943e-01 -2.9425e+00 +1.8296e+00 -2.0648e+00 -7.8740e-01 -6.2018e-01 +1.6071e+00 +5.0408e-01 +4.9187e-01 -2.8193e-01 -3.1706e+00 +7.6207e-02 -7.9495e-02 -6.2534e-01 -1.1543e+00
9350 +1.285392289e+02 +1.285392289e+02 +2.218392289e+02 +2.218392289e+02 +2.3520e+00 -1.9163e+00 -1.4720e+00 -1.1695e+00 +1.6229e-01 +2.4765e-01 -2.9482e+00 +1.8359e+00 -2.0539e+00 -7.8941e-01 -6.1496e-01 +1.6075e+00 +4.9495e-01 +4.8961e-01 -2.8169e-01 -3.1691e+00 +8.8945e-02 -8.7184e-02 -6.2423e-01 -1.1527e+00
9362 +1.243353526e+02 +1.243353526e+02 +2.176353526e+02 +2.176353526e+02 +2.3574e+00 -1.9179e+00 -1.4741e+00 -1.1673e+00 +1.5819e-01 +2.5119e-01 -2.9435e+00 +1.8334e+00 -2.0461e+00 -7.9624e-01 -6.1770e-01 +1.6116e+00 +5.1024e-01 +4.9224e-01 -2.9399e-01 -3.1733e+00 +8.7851e-02 -9.0134e-02 -6.1871e-01 -1.1621e+00
9397 +1.213055586e+02 +1.213055586e+02 +2.146055586e+02 +2.146055586e+02 +2.3554e+00 -1.9234e+00 -1.4687e+00 -1.1614e+00 +1.6390e-01 +2.5405e-01 -2.9281e+00 +1.8327e+00 -2.0338e+00 -8.0989e-01 -6.1422e-01 +1.6159e+00 +4.9721e-01 +4.8692e-01 -2.8693e-01 -3.1690e+00 +1.0029e-01 -9.5793e-02 -6.2062e-01 -1.1616e+00
9425 +1.201738898e+02 +1.201738898e+02 +2.134738898e+02 +2.134738898e+02 +2.3598e+00 -1.9182e+00 -1.4754e+00 -1.1571e+00 +1.6011e-01 +2.5113e-01 -2.9330e+00 +1.8272e+00 -2.0382e+00 -7.9664e-01 -6.1619e-01 +1.6122e+00 +5.0983e-01 +4.8163e-01 -2.9949e-01 -3.1707e+00 +9.1034e-02 -9.2833e-02 -6.2622e-01 -1.1560e+00
9481 +1.170441960e+02 +1.170441960e+02 +2.103441960e+02 +2.103441960e+02 +2.3490e+00 -1.9215e+00 -1.4724e+00 -1.1610e+00 +1.6284e-01 +2.4856e-01 -2.9325e+00 +1.8252e+00 -2.0305e+00 -7.9498e-01 -6.0716e-01 +1.6075e+00 +5.0567e-01 +4.7955e-01 -2.9143e-01 -3.1684e+00 +1.0266e-01 -7.6224e-02 -6.1693e-01 -1.1461e+00
