% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.500000000e+01 +5.500000000e+01 -1.682000000e+01 -1.682000000e+01 +0.0000e+00 +0.0000e+00
2 +5.335940503e+01 +5.335940503e+01 -1.846059497e+01 -1.846059497e+01 +2.1677e-01 -1.8574e-01
5 +4.702669899e+01 +4.702669899e+01 -2.479330101e+01 -2.479330101e+01 -8.0932e-01 -7.1640e-01
12 +4.642464625e+01 +4.642464625e+01 -2.539535375e+01 -2.539535375e+01 -2.3347e+00 -6.2406e-01
14 +3.715191920e+01 +3.715191920e+01 -3.466808080e+01 -3.466808080e+01 -9.3863e-01 -1.6909e+00
15 +2.308529889e+01 +2.308529889e+01 -4.873470111e+01 -4.873470111e+01 -2.0583e+00 -2.9856e+00
23 +6.267482023e+00 +6.267482023e+00 -6.555251798e+01 -6.555251798e+01 -1.7069e-01 -4.8562e+00
28 +4.499102474e+00 +4.499102474e+00 -6.732089753e+01 -6.732089753e+01 -3.9791e+00 -4.6522e+00
30 +2.004038554e+00 +2.004038554e+00 -6.981596145e+01 -6.981596145e+01 -2.9960e+00 -5.2941e+00
34 +1.248932869e+00 +1.248932869e+00 -7.057106713e+01 -7.057106713e+01 -3.7511e+00 -9.2074e+00
36 +0.000000000e+00 +0.000000000e+00 -7.182000000e+01 -7.182000000e+01 -5.0314e+00 -6.2528e+00
% function evaluation | noise-free fitness - Fopt (1.606400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.500000000e+01 +5.500000000e+01 +2.156400000e+02 +2.156400000e+02 +0.0000e+00 +0.0000e+00
2 +4.345191361e+01 +4.345191361e+01 +2.040919136e+02 +2.040919136e+02 +2.3376e-01 +1.1314e+00
12 +4.062264206e+01 +4.062264206e+01 +2.012626421e+02 +2.012626421e+02 +2.0157e+00 +1.2362e+00
13 +2.491651012e+01 +2.491651012e+01 +1.855565101e+02 +1.855565101e+02 -2.0164e-01 +3.0285e+00
22 +2.392192519e+01 +2.392192519e+01 +1.845619252e+02 +1.845619252e+02 -1.5625e+00 +3.2641e+00
